央视频道,#genre#
CCTV-1综合,http://113.128.226.58:8888/newlive/live/hls/2/live.m3u8
CCTV-2财经,http://113.128.226.58:8888/newlive/live/hls/3/live.m3u8
CCTV-3综艺,http://113.128.226.58:8888/newlive/live/hls/4/live.m3u8
CCTV-4国际,http://113.128.226.58:8888/newlive/live/hls/5/live.m3u8
CCTV-5体育,http://113.128.226.58:8888/newlive/live/hls/6/live.m3u8
CCTV-6电影,http://113.128.226.58:8888/newlive/live/hls/8/live.m3u8
CCTV-7军事,http://113.128.226.58:8888/newlive/live/hls/9/live.m3u8
CCTV-8电视剧,http://113.128.226.58:8888/newlive/live/hls/10/live.m3u8
CCTV-9纪录,http://113.128.226.58:8888/newlive/live/hls/11/live.m3u8
CCTV-10科教,http://113.128.226.58:8888/newlive/live/hls/12/live.m3u8
CCTV-11戏曲,http://113.128.226.58:8888/newlive/live/hls/13/live.m3u8
CCTV-12法制,http://113.128.226.58:8888/newlive/live/hls/14/live.m3u8
CCTV-13新闻,http://113.128.226.58:8888/newlive/live/hls/15/live.m3u8
CCTV-14少儿,http://113.128.226.58:8888/newlive/live/hls/16/live.m3u8
CCTV-15音乐,http://113.128.226.58:8888/newlive/live/hls/17/live.m3u8
CCTV-16奥林匹克,http://php.jdshipin.com:8880/bst.php?id=cctv16hd4k/15000000
CCTV-17农业,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV-5+体育赛事,http://113.128.226.58:8888/newlive/live/hls/7/live.m3u8
CCTV_风云足球,http://home.sylaigym.top:8887/rtp/239.69.1.81:10126
CCTV_央视台球,http://home.sylaigym.top:8887/rtp/239.69.1.98:10224
CCTV_世界地理,http://home.sylaigym.top:8887/rtp/239.69.1.91:10186
CCTV_4K超高清,http://159.75.85.63:5679/cctv4k.php

卫视频道,#genre#
广西卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gxwshd8m/8000000/mnf.m3u8
广东卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gdwshd8m/8000000/mnf.m3u8
浙江卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/zjwshd8m/8000000/mnf.m3u8
江苏卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/jswshd8m/8000000/mnf.m3u8
湖南卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/hunanwshd8m/8000000/mnf.m3u8
北京卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/bjwshd8m/8000000/mnf.m3u8
深圳卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/szwshd8m/8000000/mnf.m3u8
东方卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/dfwshd8m/8000000/mnf.m3u8
云南卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/ynwshd8m/8000000/mnf.m3u8
山东卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/sdws8m/8000000/mnf.m3u8
重庆卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cqws8m/8000000/mnf.m3u8
安徽卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/ahwshd8m/8000000/mnf.m3u8
东南卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/dnwshd8m/8000000/mnf.m3u8
四川卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/scwshd/8000000/mnf.m3u8
湖北卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/hubeiws8m/8000000/mnf.m3u8
贵州卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gzwshd8m/8000000/mnf.m3u8
