🌏｜央视频道,#genre#
CCTV1,http://4glyt.dynv6.net:35455/rptv/G_CCTV-1-AVS-4K264.m3u8?license=gitv
CCTV1,http://4glyt.dynv6.net:35455/gaoma/cctv1.m3u8
CCTV1,http://4glyt.dynv6.net:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV1,http://4glyt.dynv6.net:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV1,http://4glyt.dynv6.net:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV1,http://222.95.92.12:4000/rtp/239.49.8.19:9614
CCTV2,http://4glyt.dynv6.net:35455/gaoma/cctv2.m3u8
CCTV2,http://4glyt.dynv6.net:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV2,http://4glyt.dynv6.net:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV2,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcnoJZd_sZxCC6bZYZh4R6g%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV2,http://222.95.92.12:4000/rtp/239.49.8.50:9802
CCTV3,http://4glyt.dynv6.net:35455/rptv/G_CCTV-3-AVS-4K264.m3u8?license=gitv
CCTV3,http://4glyt.dynv6.net:35455/gaoma/cctv3.m3u8
CCTV3,http://4glyt.dynv6.net:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV3,http://4glyt.dynv6.net:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV3,http://222.95.92.12:4000/rtp/239.49.8.74:8000
CCTV4,http://4glyt.dynv6.net:35455/gaoma/cctv4.m3u8
CCTV4,http://4glyt.dynv6.net:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV4,http://4glyt.dynv6.net:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV4,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBFJ5gRpm8ntK8JEFPZOhLQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV4,http://222.95.92.12:4000/rtp/239.49.8.51:9806
CCTV5,http://4glyt.dynv6.net:35455/rptv/G_CCTV-5-AVS-4K264.m3u8?license=gitv
CCTV5,http://4glyt.dynv6.net:35455/gaoma/cctv5.m3u8
CCTV5,http://4glyt.dynv6.net:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV5,http://4glyt.dynv6.net:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
